Source,Target,Type,Id,Label,timeset,Weight
5178473033033026679,3949633040183525282,Directed,0,,,1
5178473033033026679,4932472455820013995,Directed,1,,,1
2386081261236217908,5178473033033026679,Directed,2,,,1
Hbe0RbKnUlEJ,5178473033033026679,Directed,3,,,1
Hbe0RbKnUlEJ,14514547103566617636,Directed,4,,,1
12307804854711622255,5178473033033026679,Directed,5,,,1
7062006862972443117,5178473033033026679,Directed,6,,,1
1469096727363297235,5178473033033026679,Directed,7,,,1
3138835019420585642,5178473033033026679,Directed,8,,,1
3949633040183525282,14934905878084108928,Directed,9,,,1
3949633040183525282,4932472455820013995,Directed,10,,,1
14907931210131633537,3949633040183525282,Directed,11,,,1
4932472455820013995,3949633040183525282,Directed,12,,,1
4932472455820013995,14934905878084108928,Directed,13,,,1
3230637172333912295,3949633040183525282,Directed,14,,,1
3230637172333912295,14934905878084108928,Directed,15,,,1
3230637172333912295,11215589960452924444,Directed,16,,,1
3230637172333912295,4932472455820013995,Directed,17,,,1
5303041884506007229,3949633040183525282,Directed,18,,,1
5303041884506007229,14934905878084108928,Directed,19,,,1
5303041884506007229,4932472455820013995,Directed,20,,,1
16583834284905221048,3949633040183525282,Directed,21,,,1
16583834284905221048,14934905878084108928,Directed,22,,,1
15998245182320450912,3949633040183525282,Directed,23,,,1
15998245182320450912,14934905878084108928,Directed,24,,,1
6072020206215443473,3949633040183525282,Directed,25,,,1
18047654782703650954,3949633040183525282,Directed,26,,,1
9176903319157863529,3949633040183525282,Directed,27,,,1
9176903319157863529,4932472455820013995,Directed,28,,,1
8644167598383792439,3949633040183525282,Directed,29,,,1
8644167598383792439,14934905878084108928,Directed,30,,,1
8644167598383792439,4932472455820013995,Directed,31,,,1
3745337898332244734,3949633040183525282,Directed,32,,,1
9904598574442894433,3949633040183525282,Directed,33,,,1
9904598574442894433,14934905878084108928,Directed,34,,,1
17783253589369546832,3949633040183525282,Directed,35,,,1
17783253589369546832,14934905878084108928,Directed,36,,,1
4531514085702019295,3949633040183525282,Directed,37,,,1
4531514085702019295,14934905878084108928,Directed,38,,,1
4531514085702019295,4932472455820013995,Directed,39,,,1
9735063847312485625,3949633040183525282,Directed,40,,,1
9735063847312485625,14934905878084108928,Directed,41,,,1
9735063847312485625,11215589960452924444,Directed,42,,,1
9735063847312485625,5119545722001656622,Directed,43,,,1
16235540646121005637,3949633040183525282,Directed,44,,,1
16235540646121005637,14934905878084108928,Directed,45,,,1
16235540646121005637,5119545722001656622,Directed,46,,,1
11030158923293020054,3949633040183525282,Directed,47,,,1
11030158923293020054,14934905878084108928,Directed,48,,,1
11030158923293020054,11215589960452924444,Directed,49,,,1
11030158923293020054,4932472455820013995,Directed,50,,,1
11030158923293020054,5119545722001656622,Directed,51,,,1
16388139659043835172,3949633040183525282,Directed,52,,,1
16388139659043835172,14934905878084108928,Directed,53,,,1
16388139659043835172,11215589960452924444,Directed,54,,,1
16388139659043835172,4932472455820013995,Directed,55,,,1
483567561702938339,3949633040183525282,Directed,56,,,1
2266877320636707634,3949633040183525282,Directed,57,,,1
2266877320636707634,4932472455820013995,Directed,58,,,1
1269495852173601264,3949633040183525282,Directed,59,,,1
1269495852173601264,14934905878084108928,Directed,60,,,1
10888559634713029707,3949633040183525282,Directed,61,,,1
10888559634713029707,14934905878084108928,Directed,62,,,1
10888559634713029707,4932472455820013995,Directed,63,,,1
11923733662165296462,3949633040183525282,Directed,64,,,1
11923733662165296462,14934905878084108928,Directed,65,,,1
11923733662165296462,5119545722001656622,Directed,66,,,1
8662471566392340420,3949633040183525282,Directed,67,,,1
2101863677863411632,3949633040183525282,Directed,68,,,1
2101863677863411632,14934905878084108928,Directed,69,,,1
7579032458405629989,3949633040183525282,Directed,70,,,1
7579032458405629989,14934905878084108928,Directed,71,,,1
7579032458405629989,6054795394764672578,Directed,72,,,1
16252246899892020817,3949633040183525282,Directed,73,,,1
3743371093374179636,3949633040183525282,Directed,74,,,1
4035113494433356480,3949633040183525282,Directed,75,,,1
4035113494433356480,14934905878084108928,Directed,76,,,1
4669222260776516088,3949633040183525282,Directed,77,,,1
4669222260776516088,14934905878084108928,Directed,78,,,1
4669222260776516088,5119545722001656622,Directed,79,,,1
1955402669272892995,3949633040183525282,Directed,80,,,1
1955402669272892995,14934905878084108928,Directed,81,,,1
8274975068572795294,3949633040183525282,Directed,82,,,1
6809375580511867546,3949633040183525282,Directed,83,,,1
6809375580511867546,14934905878084108928,Directed,84,,,1
10601555748149431870,3949633040183525282,Directed,85,,,1
10601555748149431870,4932472455820013995,Directed,86,,,1
1496925677473751451,3949633040183525282,Directed,87,,,1
1496925677473751451,14934905878084108928,Directed,88,,,1
6466406850380510995,3949633040183525282,Directed,89,,,1
7280690383448340712,3949633040183525282,Directed,90,,,1
993238069968127720,3949633040183525282,Directed,91,,,1
993238069968127720,4932472455820013995,Directed,92,,,1
2191101830682358038,3949633040183525282,Directed,93,,,1
2191101830682358038,14934905878084108928,Directed,94,,,1
2191101830682358038,4932472455820013995,Directed,95,,,1
18070487508098508902,3949633040183525282,Directed,96,,,1
18070487508098508902,14934905878084108928,Directed,97,,,1
18070487508098508902,11215589960452924444,Directed,98,,,1
11438206773140568724,3949633040183525282,Directed,99,,,1
2631352029640309796,3949633040183525282,Directed,100,,,1
2631352029640309796,14934905878084108928,Directed,101,,,1
897359362580450718,3949633040183525282,Directed,102,,,1
897359362580450718,14934905878084108928,Directed,103,,,1
12413642144769471143,3949633040183525282,Directed,104,,,1
12413642144769471143,14934905878084108928,Directed,105,,,1
11994206314906683637,3949633040183525282,Directed,106,,,1
4954057338032624816,3949633040183525282,Directed,107,,,1
6253718222045649675,3949633040183525282,Directed,108,,,1
11895558842253922099,3949633040183525282,Directed,109,,,1
16037170467599626215,3949633040183525282,Directed,110,,,1
16037170467599626215,14934905878084108928,Directed,111,,,1
6628647215213306590,3949633040183525282,Directed,112,,,1
8637360745593004510,3949633040183525282,Directed,113,,,1
8637360745593004510,14934905878084108928,Directed,114,,,1
8637360745593004510,4932472455820013995,Directed,115,,,1
13787844667533423783,3949633040183525282,Directed,116,,,1
13787844667533423783,4932472455820013995,Directed,117,,,1
5337719919725686253,3949633040183525282,Directed,118,,,1
5337719919725686253,4932472455820013995,Directed,119,,,1
15630971205975467253,3949633040183525282,Directed,120,,,1
15630971205975467253,5119545722001656622,Directed,121,,,1
13935041041682486775,3949633040183525282,Directed,122,,,1
5481348942114061304,3949633040183525282,Directed,123,,,1
5481348942114061304,14934905878084108928,Directed,124,,,1
5481348942114061304,4932472455820013995,Directed,125,,,1
5481348942114061304,6054795394764672578,Directed,126,,,1
5481348942114061304,17010271084092155898,Directed,127,,,1
17242148201192628448,3949633040183525282,Directed,128,,,1
17242148201192628448,14934905878084108928,Directed,129,,,1
17907235037287670421,3949633040183525282,Directed,130,,,1
17907235037287670421,5119545722001656622,Directed,131,,,1
13820202106298229080,3949633040183525282,Directed,132,,,1
17376601806778781759,3949633040183525282,Directed,133,,,1
17376601806778781759,14934905878084108928,Directed,134,,,1
17376601806778781759,4932472455820013995,Directed,135,,,1
6055526083409920188,3949633040183525282,Directed,136,,,1
6055526083409920188,14934905878084108928,Directed,137,,,1
6055526083409920188,11215589960452924444,Directed,138,,,1
6055526083409920188,4932472455820013995,Directed,139,,,1
6055526083409920188,5119545722001656622,Directed,140,,,1
7163147809668424209,3949633040183525282,Directed,141,,,1
7163147809668424209,14934905878084108928,Directed,142,,,1
