Source,Target,Type,Id,Label,timeset,Weight
309465948484959228,10575618967084374810,Directed,0,,,1
10968655744279111124,309465948484959228,Directed,1,,,1
8806179668866587042,309465948484959228,Directed,2,,,1
14892727334694246454,309465948484959228,Directed,3,,,1
1025277034193749545,309465948484959228,Directed,4,,,1
1025277034193749545,376644887802404590,Directed,5,,,1
1025277034193749545,13230951103077993451,Directed,6,,,1
17367700807851373390,309465948484959228,Directed,7,,,1
17367700807851373390,6901975809312717060,Directed,8,,,1
11412301921730810009,309465948484959228,Directed,9,,,1
7135362856131197220,309465948484959228,Directed,10,,,1
1007530986899796017,309465948484959228,Directed,11,,,1
1007530986899796017,13230951103077993451,Directed,12,,,1
1007530986899796017,6901975809312717060,Directed,13,,,1
1007530986899796017,10575618967084374810,Directed,14,,,1
9606610618249911204,309465948484959228,Directed,15,,,1
3095398255782451396,309465948484959228,Directed,16,,,1
16125824443143660380,309465948484959228,Directed,17,,,1
16125824443143660380,9156545252314658896,Directed,18,,,1
QGyFMj3IjJ8J,309465948484959228,Directed,19,,,1
rkPkWYCX0LYJ,309465948484959228,Directed,20,,,1
17052735400587384238,309465948484959228,Directed,21,,,1
17052735400587384238,376644887802404590,Directed,22,,,1
1UswgXWsBHYJ,309465948484959228,Directed,23,,,1
207357673173113240,309465948484959228,Directed,24,,,1
2693899148233867062,309465948484959228,Directed,25,,,1
2693899148233867062,376644887802404590,Directed,26,,,1
2693899148233867062,10575618967084374810,Directed,27,,,1
wvsR1uqJE5gJ,309465948484959228,Directed,28,,,1
N9yj7mstn6QJ,309465948484959228,Directed,29,,,1
N9yj7mstn6QJ,376644887802404590,Directed,30,,,1
N9yj7mstn6QJ,13230951103077993451,Directed,31,,,1
N9yj7mstn6QJ,16084356933175705347,Directed,32,,,1
N9yj7mstn6QJ,10221060025338109378,Directed,33,,,1
N9yj7mstn6QJ,16375745284448186373,Directed,34,,,1
12726324557608836938,309465948484959228,Directed,35,,,1
10580472123093954114,309465948484959228,Directed,36,,,1
376644887802404590,10575618967084374810,Directed,37,,,1
10876172648958321983,376644887802404590,Directed,38,,,1
7509802387459329838,376644887802404590,Directed,39,,,1
7509802387459329838,10575618967084374810,Directed,40,,,1
16352548098774951757,376644887802404590,Directed,41,,,1
16352548098774951757,10575618967084374810,Directed,42,,,1
16352548098774951757,13230951103077993451,Directed,43,,,1
16352548098774951757,14493220931114806974,Directed,44,,,1
5578105239372913931,376644887802404590,Directed,45,,,1
26-0QBcJJVUJ,376644887802404590,Directed,46,,,1
oLk5GO8e4sgJ,376644887802404590,Directed,47,,,1
OxUaAMvDLKoJ,10575618967084374810,Directed,48,,,1
ZPggPmqVa50J,10575618967084374810,Directed,49,,,1
7210908967924699948,10575618967084374810,Directed,50,,,1
qW2UX0zaVMkJ,16352548098774951757,Directed,51,,,1
qW2UX0zaVMkJ,14493220931114806974,Directed,52,,,1
qW2UX0zaVMkJ,11313034837014087776,Directed,53,,,1
qW2UX0zaVMkJ,2177446684721031650,Directed,54,,,1
2894139658668164355,16352548098774951757,Directed,55,,,1
2540838806052492447,16352548098774951757,Directed,56,,,1
14094794205238723258,16352548098774951757,Directed,57,,,1
10715143578409363669,10575618967084374810,Directed,58,,,1
10715143578409363669,13230951103077993451,Directed,59,,,1
10715143578409363669,3191250871139116612,Directed,60,,,1
13288881791138458174,10575618967084374810,Directed,61,,,1
7113549381788886140,13288881791138458174,Directed,62,,,1
13230951103077993451,10575618967084374810,Directed,63,,,1
16633507849877549198,13230951103077993451,Directed,64,,,1
11194322842284393924,13230951103077993451,Directed,65,,,1
11445459027227324023,13230951103077993451,Directed,66,,,1
15484264511808540750,13230951103077993451,Directed,67,,,1
15254163185910125375,13230951103077993451,Directed,68,,,1
5210563758819857730,13230951103077993451,Directed,69,,,1
742178239303769082,13230951103077993451,Directed,70,,,1
16327836079221422907,13230951103077993451,Directed,71,,,1
16543572225114316067,13230951103077993451,Directed,72,,,1
18278394461278290362,13230951103077993451,Directed,73,,,1
6605595135074792357,13230951103077993451,Directed,74,,,1
5683343402640154797,13230951103077993451,Directed,75,,,1
7309753266336658162,13230951103077993451,Directed,76,,,1
229884749011271816,13230951103077993451,Directed,77,,,1
