1385858888508100611,https://twitter.com/miller32145/status/1385858888508100611,miller32145,@Superpower_LR @factcheckdotorg https://t.co/Vi4oeZ5MFS,0.0
1385980367866261509,https://twitter.com/TheyCallMe_LR/status/1385980367866261509,TheyCallMe_LR,@miller32145 @factcheckdotorg Did you read it you twit? The article is  basically saying that police harass black men.,-0.4939
1385688059002331137,https://twitter.com/TheyCallMe_LR/status/1385688059002331137,TheyCallMe_LR,"Meme Spreads Wrong Photo, Details in Floyd Criminal Case https://t.co/TliZAirV5B via @factcheckdotorg",-0.7579
