1396952541368393729,https://twitter.com/Rigzman1/status/1396952541368393729,Rigzman1,@xavierbengo0o Posters of the KKK on her wall vibes,0.0
1396960916667785219,https://twitter.com/xavierbengo0o/status/1396960916667785219,xavierbengo0o,@Rigzman1 Init!  I didn’t even finish the statement 😅,0.4199
1396951099786022918,https://twitter.com/xavierbengo0o/status/1396951099786022918,xavierbengo0o,"The way that girl written that statement 😂 text book police brutality justification, she may aswell referenced the officer that erupted BLM",-0.2732
