source,target
1383856669428371459,1383856615766433800
1383856799980298241,1383856669428371459
1383856615766433800,1383856521184825349
1383856521184825349,1383856386677739522
1383856386677739522,1383856198001119241
1383856198001119241,1383856072109158401
1383856072109158401,1383855961916383238
1383855961916383238,1383855657162444803
1383855657162444803,1383855481983172612
1383855481983172612,1383855406259183617
1383855577936195587,1383855481983172612
1383855406259183617,1383855246980489217
1383855246980489217,1383855193075245057
1383855193075245057,1383854989752168457
1383854989752168457,1383854808772136966
1383854808772136966,1383854721279041536
1383854721279041536,1383854560708419597
1383854560708419597,1383854426067148801
1383854426067148801,1383854347709157377
1383854347709157377,1383854181568548865
1383854181568548865,1383854084231290881
