source,target
1302364283699855360,1302363943587868672
1302411983992401920,1302364283699855360
1302367376021712896,1302364283699855360
1302409904783790080,1302367376021712896
1302409734277009410,1302364283699855360
1302363943587868672,1302362944479600640
1302362944479600640,1302361821396054017
1302364075473727488,1302362944479600640
1302362457969754112,1302361608899891200
1302363786008055808,1302362457969754112
1302361821396054017,1302361608899891200
1302361608899891200,1302361395766460416
1302361395766460416,1302353116365557766
1302353116365557766,1302331544674152448
1302331544674152448,1302329842269147138
1302326541892964352,1302325554427957248
1302352758801084417,1302326541892964352
1302339661730324480,1302339508109750272
1302341963996426240,1302339661730324480
1302339508109750272,1302338100899844097
1302338100899844097,1302331544674152448
1302329842269147138,1302329720462348297
1302338558712262663,1302329842269147138
1302329720462348297,1302326541892964352
1302325554427957248,1302325388539056129
