source,target
1422670293181550593,1422655158534746112
1422685397033889809,1422670293181550593
1422655158534746112,1422654431909326848
1422654431909326848,1422653197429231619
1422653197429231619,1422651176747741184
1422651176747741184,1422650275035234307
1422650275035234307,1422636683300904962
1422636683300904962,1422621891232210948
1422649655389790213,1422636908967079937
1422650202507382784,1422649655389790213
1422636908967079937,1422621891232210948
1422621891232210948,1422619336313909257
1422619336313909257,1396206705508245506
1396206705508245506,1396198793717104654
1399594161288929281,1396198793717104654
1397531912567152640,1396274804920098816
1397553677574021122,1397531912567152640
1396274804920098816,1396274595515228162
1396199314809053186,1396198793717104654
1397531660921544716,1396199314809053186
1397487803093630976,1396198793717104654
1396493164874248199,1396198793717104654
1397427290678693889,1396493164874248199
1396202001499934722,1396198793717104654
1397426987074007043,1396202001499934722
1397426700389163010,1396198793717104654
1397016461349167106,1396199314809053186
1397195797842874383,1397016461349167106
1397166069031346179,1397162892668067842
1397164392609898498,1397160791023964162
1397160005003055107,1397158735575932936
1397157578669498382,1397156785325318144
1397156008854753280,1397155471069532163
1397155516162392064,1397154062332727300
1397155168085495816,1397152771049234432
1397154586218139648,1397151120263421957
1397153187736530944,1397151120263421957
1397018119898640384,1396973627132817412
1397004663019511808,1396198793717104654
1396987315851984897,1396198793717104654
1396982759906856965,1396973627132817412
1396981461929058309,1396973627132817412
1396978673522196480,1396973176240971778
1396963318594686979,1396945186220089345
1396961869135585288,1396893369289297920
1396921707240230913,1396893369289297920
1396873528859938817,1396852105219121156
1396873089401729025,1396861872079519748
1396833667817820161,1396831793848913923
1396828356969213960,1396827364231761921
1396825535301443589,1396825250613039104
1396825345270198272,1396822520930738180
1396821210890113024,1396198793717104654
1396824605566902280,1396821210890113024
1396824494401064967,1396817952377344000
1396822895175901184,1396820279800762368
1000830989206159360,1000821880507559936
1396820624836894725,1396810970962477062
1396818163887710208,1396812896374509572
1396808022467522564,1396806804101898247
1396810161281437701,1396808022467522564
1396806804101898247,1396805340130332681
1396806950743158785,1396647025576394768
1396805340130332681,1396655854087196676
1396801938101084164,1396659441844510725
1396800974862307328,1396659716953096193
1396670442979696642,1396270988925472771
1396675914537259010,1396670442979696642
1396270988925472771,1396199314809053186
1396658660848373760,1396641829056139272
1396648516425076740,1396647025576394768
1396647843067305986,1396646258345971716
1396646722575687683,1396645200571863050
1396645277185069068,1396643931245395968
1396642497888198660,1396635498140012547
1396640131109511168,1396637197084803074
1396629940272082954,1396627165676986372
1396622606271397900,1396614597071757320
1396617550897745920,1396613784874147841
1396613198736920578,1396608645346086914
1396610343066087428,1396599762607132679
1396591401970847746,1396590031087751168
1396587766134284289,1396568921369677824
1396585927581995008,1396198793717104654
1396585723810230272,1396558108781076489
1396543995518521349,1396524833169682433
1396554316027138053,1396543995518521349
1396553703222562822,1396542682902802436
1396546522016325632,1396532790410240001
1396524833169682433,1396519244003696642
1396539403128946689,1396513316936339460
1396519244003696642,1396513618448027654
1396521226097541123,1396513316936339460
1396513618448027654,1396508768708567042
1396508768708567042,1396505431707635715
1396491213998592000,1396468715890352133
1396453950396719106,1396450020010962948
1396452111739666434,1396198793717104654
1396210441957765120,1396198793717104654
1396450818811957249,1396210441957765120
1396446429405712385,1396444649611579393
1396252327485616135,1396250009792925696
1396445557988765696,1396252327485616135
1396442319499497472,1396212540292714497
1396441700181086209,1396212540292714497
1396432345322991617,1396198793717104654
1396319875870699523,1396198793717104654
1396309482410545153,1396198793717104654
1396296760168009736,1396219781380931584
1396307769314013184,1396296760168009736
1396305605154021383,1396198793717104654
1396295591609634818,1396288095247556610
